xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
------------NEW OBJECT CREATED------------------
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16/05/2022 05:49:08 PM - Connection established
16/05/2022 05:49:10 PM - Collection Dropped
16/05/2022 05:49:10 PM - Database Dropped
16/05/2022 05:49:10 PM - Connection Closed
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
------------NEW OBJECT CREATED------------------
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
16/05/2022 05:50:27 PM - record 281 inserted 
16/05/2022 05:50:27 PM - record 282 inserted 
16/05/2022 05:50:27 PM - record 283 inserted 
16/05/2022 05:50:27 PM - record 284 inserted 
16/05/2022 05:50:27 PM - record 285 inserted 
16/05/2022 05:50:27 PM - record 286 inserted 
16/05/2022 05:50:28 PM - record 287 inserted 
16/05/2022 05:50:28 PM - record 288 inserted 
16/05/2022 05:50:28 PM - record 289 inserted 
16/05/2022 05:50:28 PM - record 290 inserted 
16/05/2022 05:50:28 PM - record 291 inserted 
16/05/2022 05:50:28 PM - record 292 inserted 
16/05/2022 05:50:28 PM - record 293 inserted 
16/05/2022 05:50:28 PM - record 294 inserted 
16/05/2022 05:50:28 PM - record 295 inserted 
16/05/2022 05:50:29 PM - record 296 inserted 
16/05/2022 05:50:29 PM - record 297 inserted 
16/05/2022 05:50:29 PM - record 298 inserted 
16/05/2022 05:50:29 PM - record 299 inserted 
16/05/2022 05:50:29 PM - record 300 inserted 
16/05/2022 05:50:29 PM - record 301 inserted 
16/05/2022 05:50:29 PM - record 302 inserted 
16/05/2022 05:50:30 PM - record 303 inserted 
16/05/2022 05:50:30 PM - record 304 inserted 
16/05/2022 05:50:30 PM - record 305 inserted 
16/05/2022 05:50:30 PM - record 306 inserted 
16/05/2022 05:50:30 PM - record 307 inserted 
16/05/2022 05:50:30 PM - record 308 inserted 
16/05/2022 05:50:30 PM - record 309 inserted 
16/05/2022 05:50:30 PM - record 310 inserted 
16/05/2022 05:50:30 PM - record 311 inserted 
16/05/2022 05:50:31 PM - record 312 inserted 
16/05/2022 05:50:31 PM - record 313 inserted 
16/05/2022 05:50:31 PM - record 314 inserted 
16/05/2022 05:50:31 PM - record 315 inserted 
16/05/2022 05:50:31 PM - record 316 inserted 
16/05/2022 05:50:31 PM - record 317 inserted 
16/05/2022 05:50:31 PM - record 318 inserted 
16/05/2022 05:50:31 PM - record 319 inserted 
16/05/2022 05:50:32 PM - record 320 inserted 
16/05/2022 05:50:32 PM - record 321 inserted 
16/05/2022 05:50:32 PM - record 322 inserted 
